,name,artists,uri,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
15,Scrap Attack (Defqon.1 Anthem 2009) - Original Mix,['Headhunterz'],spotify:track:3HoqIMrRVvqXzpu0P04v5p,0.00297,0.607,0.875,0.0481,7,0.0645,-5.417,1,0.105,149.991,4,0.189,True
16,Around the World (La la La),['Refuzion'],spotify:track:1WF4RTvSeDTOQBD9epYwEi,0.0396,0.602,0.948,1.43e-06,9,0.186,-3.372,0,0.0502,149.933,4,0.812,True
17,Ride With Me (feat. Kid Ink) - Brennan Heart Remix,"['Tungevaag', 'Kid Ink', 'Brennan Heart']",spotify:track:74CkeJ0vYYTdQImnaLy759,0.278,0.693,0.864,0.0388,4,0.0777,-4.17,0,0.0483,149.998,4,0.142,True
18,Fine Day,"['Coone', 'Brennan Heart']",spotify:track:7aKme0bvekUFoMI0cHGIRk,0.0772,0.502,0.956,0.00194,1,0.0455,-4.445,0,0.0874,150.018,4,0.266,True
19,Moonlight,"['Kronos', 'Adaro', 'PANE']",spotify:track:3Ujppm3XdNHMvCSFgKKKng,0.0922,0.365,0.963,0.00012,10,0.107,-3.511,0,0.402,155.052,4,0.132,True
20,Doomed (Sub Zero Project Remix),"['Headhunterz', 'Sub Zero Project']",spotify:track:1lmienGCl5PEyjVL4Nya8G,0.00192,0.519,0.852,0.0529,6,0.348,-4.13,1,0.211,75.004,4,0.212,True
21,Time Machine,"['Sub Zero Project', 'MC Stretch']",spotify:track:24Yh9vNFl3CXhdiRVRNZ7E,0.000585,0.321,0.953,6.77e-05,1,0.0813,-5.657,1,0.463,147.776,4,0.14,True
22,Fly With Me,['Sub Zero Project'],spotify:track:7KYYmhJfJHJWjcgXbdJOnr,0.00149,0.519,0.959,0.712,11,0.202,-6.89,0,0.0487,150.03,4,0.406,True
23,Lockdown - Riot Shift Remix,"['Rebelion', 'Riot Shift']",spotify:track:5zvFBAHYh57REFBPzcnTNR,0.0769,0.58,0.96,8.39e-06,4,0.275,-1.57,0,0.416,159.996,4,0.208,True
24,Ruffneck Bass,['Bass Modulators'],spotify:track:6LhEQgftPqdUxsTlWA8maj,0.0104,0.53,0.99,2.88e-05,11,0.664,-2.298,1,0.161,150.144,4,0.53,True
25,Worldspawn,['Niki Istrefi'],spotify:track:4UyqpXNMLdzQYQ2CtZ0VDK,0.0497,0.539,0.903,0.849,1,0.119,-12.594,1,0.0472,153.039,4,0.0373,True
26,Discombobulate,['ANDY M A'],spotify:track:1CQsMYsorYYZt1Wjrec0ph,0.034,0.653,0.589,0.819,8,0.106,-12.055,1,0.0591,150.009,4,0.0935,True
27,You Don't Belong,['Dj Mad Dog'],spotify:track:2CUbECWhafpD5CHq3XUZVY,6.39e-05,0.49,0.874,0.864,6,0.0977,-4.616,0,0.0675,145.011,4,0.2,True
28,Trepidation,['Stan Christ'],spotify:track:2xDPYggKsvXFblelNnCnu4,0.0623,0.674,0.961,0.895,0,0.0844,-10.188,0,0.0624,150.045,4,0.124,True
29,Drop It,['3 Steps Ahead'],spotify:track:0IFOeCOe8MsujWzKf6jydH,0.024,0.498,0.878,0.682,11,0.345,-4.802,0,0.0537,94.454,4,0.0377,True
30,Bad Dreams,['DJ Isaac'],spotify:track:1ZgXY30tAArpzHHolyFglh,0.0107,0.752,0.798,0.81,6,0.0516,-8.954,1,0.0729,174.081,4,0.0908,True
31,Holy Gucci - Clair Remix,"['Krl Mx', 'Clair']",spotify:track:3GehDReyP4wkozHESnPcpT,3.57e-05,0.472,0.912,0.92,6,0.0948,-7.913,1,0.0456,162.993,4,0.488,True
32,Braincracking,['Neophyte'],spotify:track:1sgKzIhBr6Sd24bBziNHOy,0.000597,0.55,0.865,0.241,7,0.869,-8.509,0,0.0937,162.985,4,0.286,True
33,Back To The Oldskool,['The Oppressor'],spotify:track:4YycXbCwNRgntzYJhf7hXX,0.012,0.608,0.997,0.119,6,0.315,-1.179,1,0.1,110.008,4,0.491,True
34,Back Once Again,"['Chris One', 'Clockartz']",spotify:track:0xNlkMMX7X0GAc86JPjS6q,0.00743,0.564,0.995,0.0121,7,0.398,-3.583,1,0.192,160.03,4,0.303,True
35,Beyond Imagination - Element Remix,"['The Purge', 'Element']",spotify:track:4SXhmBta459ZhEXcOiN2rI,0.0089,0.484,0.935,0.133,0,0.394,-1.868,1,0.459,154.984,4,0.0552,True
36,Rave Machine,['Dither'],spotify:track:7quuryt7S7Ix5Xr51GC3Ng,0.062,0.641,0.968,0.134,8,0.312,-0.539,1,0.116,95.003,4,0.193,True
37,Wixplosion,['WIXAPOL'],spotify:track:1lPEbr8WMnLct17llmOfTj,0.158,0.667,0.715,0.26,11,0.479,-9.468,0,0.134,156.515,4,0.159,True
38,SPRENRZONE KORALE - SINLOOS EDIT,"['WIXAPOL', 'ŻWIREK']",spotify:track:1Ixyv0ot8OYVebFwbzSwlR,0.0289,0.638,0.947,0.0275,5,0.504,-2.554,0,0.227,170.262,4,0.467,True
39,TONIE MAJAMI - REMIX ZAJEBI$TY,"['WIXAPOL', 'Hewra']",spotify:track:1UmBQPl6pARmcVHRdJfi4P,0.00951,0.685,0.857,0.226,11,0.0662,-7.907,0,0.084,154.996,4,0.41,True
40,PATOINTELIGENCJA - REMIX ZAJEBI$TY,"['WIXAPOL', 'Mata']",spotify:track:2JERSB3pXp8SsH7CFr7V9D,0.0507,0.605,0.732,0.023,6,0.423,-5.839,0,0.382,156.969,4,0.36,True
41,Knock Knock,['Angerfist'],spotify:track:4fuPFCrsnZ85emMfL52CKp,0.0828,0.34,0.954,0.566,6,0.173,-3.576,0,0.11,169.924,3,0.196,True
42,Incoming,['Angerfist'],spotify:track:2LdxoC3NmmJDHPaVxUuDbo,0.022,0.535,0.971,0.156,11,0.282,-3.323,0,0.0544,88.512,4,0.4,True
43,Unforgettable - Radical Redemption Remix,['Miss K8'],spotify:track:3LRcfVowC2P67GHOAKGN9N,0.0232,0.587,0.924,4.34e-06,6,0.126,-3.645,1,0.0678,157.01,4,0.324,True
44,Breathe,"['Ophidian', 'D-Passion']",spotify:track:5YZqFM3pBhxU1PLEGSaLKh,4.27e-05,0.434,0.987,0.733,9,0.0525,-4.897,0,0.187,169.919,4,0.273,True
45,The Reckoning,['Thorax'],spotify:track:3nEitEJeiT9FmrKkvRc7Nr,0.0014,0.445,0.92,0,1,0.249,-3.645,1,0.208,169.948,4,0.0817,True
46,Come Get Some,"['Dj Mad Dog', 'Anime']",spotify:track:5nhNM2SLL9OhIPDWwPfWPg,0.0127,0.489,0.96,0.433,6,0.223,-2.915,1,0.372,185.103,4,0.211,True
47,The Missing Channel,['Dj Mad Dog'],spotify:track:1AbbpQopKWBZvapJPTnhrC,0.0617,0.63,0.994,0.892,8,0.105,-1.711,1,0.474,167.989,4,0.144,True
48,Welcome To The Thunderdome (Official Thunderdome 2021 Anthem),['N-Vitral'],spotify:track:40sVUPMUAWnrCdFCHSoF3W,0.133,0.619,0.985,0.00187,1,0.353,-1.429,1,0.209,97.489,4,0.163,True
49,Fine Night,['Anime'],spotify:track:0EUUAfLyEWjU1oHdLmU1qL,0.0888,0.288,0.988,0.000718,5,0.179,-0.645,1,0.129,100.019,1,0.0376,True
50,Bass in Your Face - 2021 Kick Edit,['Matzic'],spotify:track:6uSRuOz68PC7u1AQQJr8ZL,0.0138,0.539,0.976,0.0669,5,0.265,-2.099,0,0.102,159.907,4,0.385,True
51,From The Underground (Rave Core),['Deadly Guns'],spotify:track:6f7hGT8dkVxUcMP943ZRmD,0.0374,0.683,0.957,0.17,1,0.17,-2.393,1,0.0577,94.973,4,0.256,True
52,Be Careful With Me,['Yoorc'],spotify:track:5Te4COomqQquePN2KjJsh5,0.0866,0.674,0.965,0.0547,7,0.123,-2.574,1,0.0564,165.029,4,0.277,True
53,Get Dissed,['Deadly Guns'],spotify:track:08fnUvUr7q26lvOfln3TjQ,0.0486,0.671,0.941,0.0008,2,0.432,-3.337,1,0.0519,99.965,4,0.255,True
54,Raggen,"['D-Fence', 'Mr. Hyde']",spotify:track:3ecqZYqkxy1XML5BVYWEvh,0.101,0.438,0.98,0.00526,7,0.572,-2.215,1,0.171,103.751,4,0.0411,True
55,Description of Evil,['Lil Texas'],spotify:track:6qOzCs4rQkJdejTKnihUbL,0.0431,0.624,0.998,0.196,2,0.587,1.55,1,0.15,102.536,4,0.108,True
56,Kokeen - Angerzam Remix,"['Furyan', 'Angerzam']",spotify:track:3x2FGjk9lbHzWoyaUHEs6u,7.36e-05,0.553,0.922,0.00429,7,0.0304,-3.332,1,0.106,124.958,4,0.0877,True
57,Do You Wanna Ketamine [feat. MBK] - Angerkill Remix,"['Unicorn On Ketamine', 'MBK', 'Angerkill']",spotify:track:2pvg4dzshxZcDvNxwOwecC,0.0117,0.71,0.999,0.0559,5,0.382,-3.863,0,0.294,120.029,4,0.0498,True
58,Not for Me,['Unicorn On Ketamine'],spotify:track:3AcPubndpYkO1fFvzU1OaM,0.0293,0.69,0.974,0.00771,5,0.19,-0.952,0,0.0812,99.99,4,0.312,True
59,Partystarter,['Mizz Behave'],spotify:track:0hQ9LHBzkUThXYZ3vSHl6X,0.000864,0.565,0.985,0.000609,4,0.237,-0.642,0,0.0416,100.004,4,0.0799,True
60,Sugar Beatz,"['Mizz Behave', 'Miss Enemy']",spotify:track:6owYb925ghJ1g0UCbMHGek,0.135,0.592,0.959,0.000103,1,0.138,-0.292,1,0.143,107.529,4,0.208,True
61,Harmony of Fuck,['GPF'],spotify:track:3WVUA6Xbiolh1H9THVHpIE,0.0138,0.726,0.984,0.00431,11,0.368,1.573,0,0.0826,99.979,4,0.429,True
62,Who’s Your Daddy,"['GPF', 'J1zzy']",spotify:track:1mL3byjdJNhLYwK2A6MBMz,0.0107,0.4,0.991,0,1,0.891,1.18,1,0.438,100.015,4,0.253,True
63,Laddy-Daddy-Daddy,"['GPF', 'J1zzy']",spotify:track:2ziL67NJnSNEcTiZDAOrq0,0.00195,0.6,0.987,0.00391,10,0.283,1.563,0,0.12,100.024,4,0.247,True
64,Stripper,['GPF'],spotify:track:0eFbL8aL20RTaZhpulYZck,0.0548,0.812,0.977,2.59e-06,9,0.348,1.634,0,0.0659,109.954,4,0.334,True
65,Worst Nightmare,['Caine'],spotify:track:3KSoi1xRwTwygCCtcsTMME,0.0526,0.393,0.967,7.38e-05,4,0.354,-1.555,0,0.365,154.972,4,0.232,True
66,SUCK MY TOES,['GPF'],spotify:track:3bBGQHMYdv1PSd0tX0Jdzt,0.0282,0.52,0.993,0,7,0.351,0.125,1,0.403,99.855,4,0.141,True
67,Broccoli Fuck,"['GPF', 'Riot Shift']",spotify:track:31Rwwh2kKCxExVeYRlGOWu,0.414,0.711,0.996,3.68e-06,10,0.924,0.654,0,0.46,110.128,3,0.0759,True
68,SLOOF LIRPA,['GPF'],spotify:track:6PV9ltIBrGe2WwWve3Z9RJ,0.0289,0.183,0.383,0.0588,5,0.144,0.764,1,0.0463,82.69,3,0.2,True
